freq_hz,H_mag,coherence,phase_deg
1484.07,0.035987,0.9739,101.19
1486.07,0.050534,0.9001,101.33
1488.06,0.030451,0.9665,101.48
1490.05,0.037554,0.9042,101.64
1492.04,0.030286,0.8857,101.80
1494.03,0.068795,0.8882,101.97
1496.03,0.034331,0.9681,102.14
1498.02,0.062954,0.9685,102.32
1500.01,0.041330,0.9734,102.50
1502.00,0.037354,0.8913,102.70
1503.99,0.052990,0.9371,102.90
1505.99,0.052543,0.9483,103.12
1507.98,0.043246,0.9432,103.35
1509.97,0.032752,0.9292,103.59
1511.96,0.032324,0.9026,103.84
1513.95,0.035073,0.9059,104.11
1515.95,0.053434,0.9053,104.40
1517.94,0.041728,0.9851,104.71
1519.93,0.041700,0.9433,105.05
1521.92,0.036637,0.9738,105.41
1523.91,0.056817,1.0000,105.81
1525.91,0.066629,1.0000,106.24
1527.90,0.061695,0.9410,106.71
1529.89,0.060105,0.9315,107.23
1531.88,0.067750,0.9947,107.81
1533.87,0.091214,0.9575,108.46
1535.87,0.085016,0.9893,109.19
1537.86,0.099628,0.9457,110.02
1539.85,0.100080,0.9826,110.97
1541.84,0.077424,1.0000,112.06
1543.83,0.110266,1.0000,113.34
1545.83,0.117543,0.9769,114.84
1547.82,0.115667,0.9706,116.63
1549.81,0.164229,0.9817,118.77
1551.80,0.154350,1.0000,121.37
1553.79,0.191301,1.0000,124.54
1555.79,0.274061,1.0000,128.38
1557.78,0.298029,1.0000,132.98
1559.77,0.353024,1.0000,138.31
1561.76,0.387077,1.0000,144.15
1563.75,0.350578,1.0000,150.12
1565.75,0.315228,0.9992,155.77
1567.74,0.290711,1.0000,160.78
1569.73,0.244654,1.0000,165.04
1571.72,0.197912,0.9766,168.57
1573.71,0.146133,1.0000,171.46
1575.71,0.123925,1.0000,173.84
1577.70,0.109369,1.0000,175.81
1579.69,0.120959,0.9617,177.46
1581.68,0.081759,0.9952,178.85
1583.67,0.102260,1.0000,-179.97
1585.67,0.064926,0.9532,-178.95
1587.66,0.082446,0.9383,-178.07
1589.65,0.059188,0.9916,-177.29
1591.64,0.065533,1.0000,-176.61
1593.63,0.086533,1.0000,-176.01
1595.63,0.047635,0.9615,-175.47
1597.62,0.074503,1.0000,-174.98
1599.61,0.055648,0.9205,-174.54
1601.60,0.070244,1.0000,-174.14
1603.59,0.068709,0.9264,-173.77
1605.59,0.071694,0.9486,-173.44
1607.58,0.071024,0.9183,-173.13
1609.57,0.041776,0.9075,-172.85
1611.56,0.043090,0.9224,-172.59
1613.55,0.053788,0.9487,-172.34
1615.55,0.053990,0.9055,-172.11
1617.54,0.032808,0.9207,-171.90
1619.53,0.068699,0.9855,-171.70
1621.52,0.067492,0.9126,-171.51
1623.51,0.033789,0.9788,-171.34
1625.51,0.056901,0.9752,-171.17
1627.50,0.034753,0.9462,-171.01
1629.49,0.037801,0.9290,-170.86
1631.48,0.027887,0.9354,-170.72
1633.47,0.063604,0.9248,-170.59
1635.47,0.026898,0.9187,-170.46
1637.46,0.029740,0.9393,-170.34
1639.45,0.041977,0.9350,-170.23
1641.44,0.048502,0.9625,-170.11
1643.43,0.054572,0.9526,-170.01
1645.43,0.061932,0.8888,-169.91
1647.42,0.034585,0.8810,-169.81
1649.41,0.028727,0.9547,-169.72
1651.40,0.026978,0.9028,-169.63
1653.39,0.050475,0.9176,-169.54
1655.39,0.028341,0.9711,-169.46
1657.38,0.035657,0.9272,-169.38
1659.37,0.042398,0.9493,-169.30
1661.36,0.034509,0.8974,-169.23
1663.35,0.044631,0.8889,-169.16
1665.35,0.050421,0.9306,-169.09
1667.34,0.056410,0.8857,-169.02
1669.33,0.026344,0.8877,-168.95
1671.32,0.047691,0.9023,-168.89
1673.31,0.031694,0.8735,-168.83
1675.31,0.049629,0.9545,-168.77
1677.30,0.034676,0.8795,-168.71
1679.29,0.030440,0.8917,-168.66
1681.28,0.045126,0.9645,-168.60
1683.27,0.056890,0.9156,-168.55
1685.27,0.056136,0.8878,-168.50
1687.26,0.025670,0.9130,-168.45
1689.25,0.055659,0.8773,-168.40
1691.24,0.058118,0.9658,-168.35
1693.23,0.056063,0.9098,-168.30
1695.23,0.033746,0.8896,-168.26
1697.22,0.060476,0.9520,-168.22
1699.21,0.047412,0.9470,-168.17
1701.20,0.039753,0.8813,-168.13
1703.19,0.057590,0.9546,-168.09
1705.19,0.050728,0.9222,-168.05
1707.18,0.040965,0.9078,-168.01
1709.17,0.042022,0.8955,-167.97
1711.16,0.056740,0.8805,-167.93
1713.15,0.049965,0.8926,-167.90
1715.15,0.025307,0.8855,-167.86
1717.14,0.060777,0.9481,-167.83
1719.13,0.027559,0.9147,-167.79
1721.12,0.026784,0.9240,-167.76
1723.11,0.052102,0.9087,-167.73
1725.11,0.032167,0.9405,-167.69
1727.10,0.031253,0.9176,-167.66
1729.09,0.046153,0.8895,-167.63
1731.08,0.060310,0.9195,-167.60
1733.07,0.053511,0.9481,-167.57
1735.07,0.029475,0.8974,-167.54
1737.06,0.027001,0.8727,-167.51
1739.05,0.048431,0.9156,-167.48
1741.04,0.036582,0.9060,-167.45
1743.03,0.027664,0.8949,-167.43
1745.03,0.054260,0.8952,-167.40
1747.02,0.057501,0.9333,-167.37
1749.01,0.061092,0.9286,-167.35
1751.00,0.037055,0.8812,-167.32
1752.99,0.027182,0.8842,-167.30
1754.98,0.027515,0.9653,-167.27
1756.98,0.042833,0.9027,-167.25
1758.97,0.030357,0.9602,-167.22
1760.96,0.035740,0.9542,-167.20
1762.95,0.044777,0.8870,-167.18
1764.94,0.052666,0.8752,-167.15
1766.94,0.055934,0.8754,-167.13
1768.93,0.059672,0.8788,-167.11
1770.92,0.047407,0.9585,-167.09
1772.91,0.045964,0.9016,-167.06
1774.90,0.022341,0.8974,-167.04
1776.90,0.038650,0.8770,-167.02
1778.89,0.056198,0.9297,-167.00
1780.88,0.040714,0.9254,-166.98
1782.87,0.046760,0.9667,-166.96
1784.86,0.052580,0.8939,-166.94
1786.86,0.063913,0.9284,-166.92
1788.85,0.040943,0.9689,-166.90
1790.84,0.055940,0.8862,-166.88
1792.83,0.025816,0.9513,-166.86
1794.82,0.061562,0.9653,-166.85
1796.82,0.045645,0.8741,-166.83
1798.81,0.037760,0.9662,-166.81
1800.80,0.032853,0.9128,-166.79
1802.79,0.055335,0.8847,-166.77
1804.78,0.039422,0.9657,-166.76
1806.78,0.038677,0.8739,-166.74
1808.77,0.047498,0.9597,-166.72
1810.76,0.052687,0.9696,-166.70
1812.75,0.047000,0.8874,-166.69
1814.74,0.024737,0.9037,-166.67
1816.74,0.058008,0.8894,-166.66
1818.73,0.042411,0.8881,-166.64
1820.72,0.059787,0.9503,-166.62
1822.71,0.056865,0.9174,-166.61
1824.70,0.026224,0.9164,-166.59
1826.70,0.024113,0.9392,-166.58
1828.69,0.045830,0.9506,-166.56
1830.68,0.028459,0.9663,-166.55
1832.67,0.059595,0.8999,-166.53
1834.66,0.024059,0.9100,-166.52
1836.66,0.042771,0.8814,-166.50
1838.65,0.048134,0.9266,-166.49
1840.64,0.044223,0.8936,-166.47
1842.63,0.027317,0.9435,-166.46
1844.62,0.043741,0.9394,-166.45
1846.62,0.047927,0.9021,-166.43
1848.61,0.022689,0.9063,-166.42
1850.60,0.030133,0.9277,-166.41
1852.59,0.022651,0.9033,-166.39
1854.58,0.057587,0.9234,-166.38
1856.58,0.045853,0.9302,-166.37
1858.57,0.024094,0.9359,-166.35
1860.56,0.044331,0.9648,-166.34
1862.55,0.043323,0.9322,-166.33
1864.54,0.049911,0.8944,-166.31
1866.54,0.022176,0.9385,-166.30
1868.53,0.061799,0.8850,-166.29
1870.52,0.036436,0.9018,-166.28
1872.51,0.051893,0.9001,-166.27
1874.50,0.034317,0.9334,-166.25
1876.50,0.063469,0.9467,-166.24
1878.49,0.062394,0.9139,-166.23
1880.48,0.055364,0.8820,-166.22
1882.47,0.038257,0.8795,-166.21
1884.46,0.063055,0.9213,-166.20
1886.46,0.021977,0.8876,-166.18
1888.45,0.031667,0.9271,-166.17
1890.44,0.060916,0.9185,-166.16
1892.43,0.034290,0.9639,-166.15
1894.42,0.058043,0.9562,-166.14
1896.42,0.048100,0.8768,-166.13
1898.41,0.023640,0.9509,-166.12
1900.40,0.037872,0.8779,-166.11
1902.39,0.039644,0.9383,-166.10
1904.38,0.026224,0.9487,-166.09
1906.38,0.047614,0.9510,-166.08
1908.37,0.057339,0.9459,-166.07
1910.36,0.024986,0.9090,-166.06
1912.35,0.028001,0.9344,-166.05
1914.34,0.038870,0.9069,-166.04
1916.34,0.046903,0.9207,-166.03
1918.33,0.037364,0.8785,-166.02
1920.32,0.048275,0.9356,-166.01
1922.31,0.062662,0.9470,-166.00
1924.30,0.045747,0.9496,-165.99
1926.30,0.032889,0.9051,-165.98
1928.29,0.063087,0.8900,-165.97
1930.28,0.049951,0.9201,-165.96
1932.27,0.054954,0.8792,-165.95
1934.26,0.039683,0.8942,-165.94
1936.26,0.030154,0.8984,-165.93
1938.25,0.055811,0.9364,-165.92
1940.24,0.053012,0.9375,-165.91
1942.23,0.022641,0.9477,-165.90
1944.22,0.033830,0.9625,-165.89
1946.22,0.022879,0.9667,-165.89
1948.21,0.060941,0.9042,-165.88
1950.20,0.062488,0.9186,-165.87
1952.19,0.031100,0.9622,-165.86
1954.18,0.029818,0.9379,-165.85
1956.18,0.042927,0.8928,-165.84
1958.17,0.062933,0.8811,-165.83
1960.16,0.056958,0.9081,-165.83
1962.15,0.058199,0.9521,-165.82
1964.14,0.050518,0.8872,-165.81
1966.14,0.039580,0.8950,-165.80
1968.13,0.050491,0.9382,-165.79
1970.12,0.042802,0.9130,-165.78
1972.11,0.028328,0.9025,-165.78
1974.10,0.041797,0.9455,-165.77
1976.10,0.037617,0.8861,-165.76
1978.09,0.048450,0.9442,-165.75
1980.08,0.042908,0.9569,-165.74
1982.07,0.023389,0.9346,-165.74
1984.06,0.030837,0.8914,-165.73
1986.06,0.033020,0.8956,-165.72
1988.05,0.041842,0.9395,-165.71
1990.04,0.046742,0.8749,-165.71
1992.03,0.040263,0.8924,-165.70
1994.02,0.029808,0.9238,-165.69
1996.02,0.043803,0.8746,-165.68
1998.01,0.033926,0.8710,-165.68
2000.00,0.046646,0.9492,-165.67
